,prod_code,retailer_code,begin_date,end_date,prod_desc,prod_type,brand_code,brand_desc,unit_dimension,unit_number,vendor_code,vendor_name,tax_rate
197,100056,adl,2019/4/1,2019/10/13,中国结方巾,,0,无品牌,条,10,,,13
199,100061,adl,2019/10/13,3000/9/1,雅柏三角裤,普通商品,0,无品牌,盒,20,,,13
200,100062,adl,2018/10/27,2019/4/1,雅柏天竹三角裤,,0,无品牌,盒,1,,,16
203,100071,adl,2018/10/27,2019/4/1,金贝利学步带,,0,无品牌,个,1,,,16
208,100112,adl,2018/6/1,2018/10/23,沙袋,,0,无品牌,个,1,,,16
209,100112,adl,2018/10/23,2019/4/1,沙袋,,0,无品牌,个,1,,,16
210,100117,adl,2019/4/1,2019/10/13,七匹狼圣麻休闲男袜,,0,无品牌,双,1,,,13
213,100128,adl,2018/10/24,2019/4/1,亲净8933双面磨纱手套,,0,无品牌,付,1,,,16
214,100128,adl,2019/10/13,3000/9/1,亲净8933双面磨纱手套,无种类,0,无品牌,付,1,,,13
227,100034,adl,2018/10/25,2019/4/1,LOVE兔挂钩,,0,无品牌,袋,1,,,16
228,100035,adl,2019/10/13,3000/9/1,QQ农场挂钩,无种类,0,无品牌,袋,1,,,13
230,100041,adl,2018/10/25,2019/4/1,超凡纸杯300ML,,0,无品牌,包,1,,,16
231,100043,adl,2018/6/1,2018/10/27,红豆文胸,,0,无品牌,件,1,,,16
232,100058,adl,2018/10/27,2019/4/1,防臭鞋垫,,0,无品牌,双,1,,,16
235,100062,adl,2019/10/13,3000/9/1,雅柏天竹三角裤,无种类,0,无品牌,盒,1,,,13
236,100071,adl,2019/10/13,3000/9/1,金贝利学步带,无种类,0,无品牌,个,1,,,13
239,100098,adl,2018/6/1,2018/10/23,音乐方向盘,普通商品,0,无品牌,个,1,,,16
240,100098,adl,2018/10/23,2018/10/24,音乐方向盘,普通商品,0,无品牌,个,1,,,16
246,100130,adl,2018/10/24,2018/10/25,蕾丝袖套0092,,0,无品牌,付,1,,,16
247,100131,adl,2018/7/17,2018/10/24,金棉格子袖套0085,,0,无品牌,付,1,,,16
249,100170,adl,2019/10/13,3000/9/1,新富尔兴全钢汤盆,无种类,0,无品牌,个,1,,,13
258,100023,adl,2019/10/13,3000/9/1,双枪水果叉75支装,普通商品,0,无品牌,叉,包,SQ1175,1,
263,100035,adl,2018/10/25,2019/4/1,QQ农场挂钩,,0,无品牌,袋,1,,,16
264,100036,adl,2019/4/1,2019/10/13,诚利2948B梳子,普通商品,0,无品牌,个,1,,,13
265,100038,adl,2019/10/13,3000/9/1,诚利陶瓷柄中号尖勺,无种类,0,无品牌,把,1,,,13
266,100043,adl,2019/4/1,2019/10/13,红豆文胸,,0,无品牌,件,1,,,13
267,100052,adl,2019/10/13,3000/9/1,莎奴亚鸿福全棉内裤,无种类,0,无品牌,盒,1,,,13
270,100061,adl,2019/4/1,2019/10/13,雅柏三角裤,普通商品,0,无品牌,盒,20,,,13
280,100126,adl,2018/10/24,2019/4/1,奇洁士猪鬃刷8040,,0,无品牌,个,1,,,16
281,100126,adl,2019/10/13,3000/9/1,奇洁士猪鬃刷8040,无种类,0,无品牌,个,1,,,13
282,100128,adl,2019/4/1,2019/10/13,亲净8933双面磨纱手套,,0,无品牌,付,1,,,13
283,100130,adl,2018/7/17,2018/7/18,蕾丝袖套0092,,0,无品牌,付,1,,,16
284,100131,adl,2018/10/24,2019/4/1,金棉格子袖套0085,,0,无品牌,付,1,,,16
285,100131,adl,2019/10/13,3000/9/1,金棉格子袖套0085,无种类,0,无品牌,付,1,,,13
287,100170,adl,2019/4/1,2019/10/13,新富尔兴全钢汤盆,,0,无品牌,个,1,,,13
288,100172,adl,2019/10/13,3000/9/1,富尔兴全新潮儿汤锅,普通商品,0,无品牌,个,1,,,13
290,100175,adl,2018/10/23,2018/10/24,画字板,,0,无品牌,个,1,,,16
293,100180,adl,2018/10/23,2019/4/1,北京之旅游戏,,0,无品牌,个,1,,,16
294,100187,adl,2019/10/13,3000/9/1,上海之旅游戏,无种类,0,无品牌,个,1,,,13
296,100218,adl,2018/6/1,2018/10/23,机器狗,普通商品,0,无品牌,个,1,,,16
297,100218,adl,2018/10/23,2019/4/1,机器狗,普通商品,0,无品牌,个,1,,,16
299,100221,adl,2018/10/23,2018/10/24,公牛H1220/1.8米插座,普通商品,0,无品牌,个,1,,,16
301,100223,adl,2018/10/25,2019/4/1,9#双耳锅4.9L,,0,无品牌,个,1,,,16
